F990_TOTAL_ASSETS_RECENT,CENSUS_STATE_ABBR,CENSUS_COUNTY_NAME,ORG_NAME_CURRENT,Total_Assets
1668.594,ME,Franklin County,RANGELEY LIBRARY ASSOCIATION,1.668594
316.77,ME,Cumberland County,THE PORTLAND PLAYERS INC,0.31677
2241.876,ME,Somerset County,TRUSTEES OF BLOOMFIELD ACADEMY,2.241876
2595.743,ME,Washington County,EASTPORT PUBLIC LIBRARY ASSOCIATION,2.595743
6634.069,ME,York County,MCARTHUR LIBRARY ASSOCIATION,6.634069
20621.03,ME,Cumberland County,NORTH YARMOUTH ACADEMY,20.62103
10907.875,ME,Sagadahoc County,PATTEN FREE LIBRARY,10.907875
3520.611,ME,Androscoggin County,YWCA CENTRAL MAINE,3.520611
423.375,ME,Knox County,ROCKLAND DISTRICT NURSING ASSN INC,0.423375
292.488,ME,York County,RICE PUBLIC LIBRARY,0.292488
4709.409,ME,Penobscot County,BANGOR HUMANE SOCIETY,4.709409
2816.848,ME,York County,SANFORD LIBRARY ASSOCIATION,2.816848
63850.681,ME,Hancock County,MAINE SEACOAST MISSION,63.850681
185.446,ME,Hancock County,SEAL HARBOR VILLAGE IMPROVEMENT SOCIETY INC,0.185446
4089.047,ME,Hancock County,CASTINE COMMUNITY HOSPITAL,4.089047
14202.739,ME,Washington County,WASHINGTON ACADEMY,14.202739
1775.002,ME,Kennebec County,MAINE SECONDARY SCHOOL PRINCIPALS ASSOCIATION,1.775002
15391.632,ME,Kennebec County,ERSKINE ACADEMY,15.391632
1412.87,ME,Washington County,RUGGLES HOUSE SOCIETY,1.41287
487.597,ME,Cumberland County,ERVIN A CENTER MEMORIAL CLINIC HOSPITAL,0.487597
8149.09,ME,Aroostook County,NORTHERN MAINE GENERAL,8.14909
7808.206,ME,Aroostook County,CENTRAL AROOSTOOK ASSOCIATION,7.808206
7665.444,ME,Androscoggin County,TRUSTEES OF LEAVITT INSTITUTE,7.665444
9157.465,ME,Kennebec County,UPLIFT INC,9.157465
9003.286,ME,Sagadahoc County,ELMHURST INC,9.003286
16954.043,ME,Kennebec County,NATURAL RESOURCES COUNCIL INC,16.954043
11037.923,ME,Oxford County,HOPE ASSOCIATION,11.037923
780.701,ME,Waldo County,BELFAST CURLING CLUB INC,0.780701
1029.426,ME,Cumberland County,JUNIOR ACHIEVEMENT OF MAINE INC,1.029426
9421.169,ME,Kennebec County,CHILDRENS CENTER EARLY INTERVENTION AND FAMILY SUPPORT,9.421169
568.853,ME,Aroostook County,MADAWASKA PUBLIC LIBRARY,0.568853
38969.461,ME,York County,WAYPOINT MAINE INC,38.969461
