"","F990_TOTAL_ASSETS_RECENT","CENSUS_STATE_ABBR","CENSUS_COUNTY_NAME","ORG_NAME_CURRENT","Total_Assets"
"1",4622696,"","","THE GOVERNORS OF THE UNIVERSITY OF ALBERTA",4622.696
"2",4224098,"","","UNIVERSITE DE MONTREAL SUCCURSALE A QUEBEC",4224.098
"3",2544303.045,"","","QUEENS UNIVERSITY AT KINGSTON DEPARTMENT OF FINANCIAL SERVICES",2544.303045
"4",2368852,"","","NATIONAL TRUST FOR PLACES OF HISTORIC INTEREST OR NATURAL BEAUT",2368.852
"5",2301907,"","","UNIVERSITY OF MANITOBA",2301.907
"6",493116.732,"","","ST FRANCIS XAVIER UNIVERSITY",493.116732
"7",464849.735,"","","MERTON COLLEGE",464.849735
"8",224720,"","","ACADIA UNIVERSITY",224.72
"9",148182.366,"","","OTTAWA HOSPITAL RESEARCH INSTITUTE",148.182366
"10",139720.824,"","","THE RESEARCH INSTITUTE OF THE MCGILL UNIVERSITY HEALTH CENTRE",139.720824
"11",25476.71,"AK","Fairbanks North Star Borough","RETIREMENT COMMUNITY OF FAIRBANKS",25.47671
"12",22955.514,"AK","Anchorage Municipality","ALASKA NATIVE HERITAGE CENTER INC",22.955514
"13",13696.231,"AK","Anchorage Municipality","ALASKA CONSERVATION FOUNDATION",13.696231
"14",11974.917,"AK","Anchorage Municipality","EASTERSEALS ALASKA",11.974917
"15",10081.342,"AK","Anchorage Municipality","NARCOTIC DRUG TREATMENT CENTER INC",10.081342
"16",7642.908,"AK","Fairbanks North Star Borough","FAIRBANKS NEIGHBORHOOD HOUSING SERVICES INC",7.642908
"17",5422.206,"AK","Anchorage Municipality","WELLSPRING MINISTRIES OF ALASKA INC",5.422206
"18",5403.253,"AK","Anchorage Municipality","SEND NORTH",5.403253
"19",5403.253,"AK","Anchorage Municipality","SEND NORTH",5.403253
"20",3448.45,"AK","Anchorage Municipality","KNOM RADIO MISSION INC",3.44845
"21",419243.148,"AL","Mobile County","UNIVERSITY OF SOUTH ALABAMA FOUNDATION",419.243148
"22",100457.914,"AL","Montgomery County","FAULKNER UNIVERSITY",100.457914
"23",47260.299,"AL","Etowah County","QUALITY OF LIFE HEALTH SERVICES INC",47.260299
"24",46193.494,"AL","Madison County","THE HUNTSVILLE HOSPITAL FOUNDATION INC",46.193494
"25",44225.469,"AL","Shelby County","ALABAMA EDUCATIONAL FOUNDATION AND INDIAN SPRINGS SCHOOL A CORPORATIO",44.225469
"26",38829.976,"AL","Jefferson County","GREATER BIRMINGHAM HABITAT FOR HUMANITY INC",38.829976
"27",36089.711,"AL","Montgomery County","HEALTH SERVICES INC",36.089711
"28",26361.696,"AL","Jefferson County","BIRMINGHAM MUSEUM OF ART ENDOWMENT TR",26.361696
"29",23274.297,"AL","Lauderdale County","HERITAGE CHRISTIAN UNIVERSITY",23.274297
"30",19282.047,"AL","Montgomery County","MONTGOMERY BAPTIST OUTREACH SERVICES CORPORATION",19.282047
"31",638116.005,"AR","Pulaski County","ARKANSAS COMMUNITY FOUNDATION INC",638.116005
"32",287748.58,"AR","Pulaski County","HEIFER PROJECT INTERNATIONAL",287.74858
"33",206013.402,"AR","Pulaski County","HEIFER INTERNATIONAL FOUNDATION",206.013402
"34",205934.945,"AR","Johnson County","UNIVERSITY OF THE OZARKS",205.934945
"35",81191.549,"AR","Benton County","WAL-MART ASSOCIATES IN CRITICAL NEED FUND",81.191549
"36",60778.648,"AR","Pulaski County","LITTLE ROCK CHRISTIAN ACADEMY INC",60.778648
"37",59611.66,"AR","Pulaski County","GOODWILL INDUSTRIES OF ARKANSAS INC",59.61166
"38",52122.586,"AR","Saline County","BIRCH TREE COMMUNITIES INC",52.122586
"39",48087.573,"AR","Craighead County","ARKANSAS STATE UNIVERSITY RED WOLVES FOUNDATION INC",48.087573
"40",42511.654,"AR","Pulaski County","GOODWILL OF ARKANSAS FOUNDATION INC",42.511654
"41",85604.521,"AZ","Maricopa County","ARIZONA SPORTS FOUNDATION",85.604521
"42",76738.672,"AZ","Maricopa County","PETSMART CHARITIES INC",76.738672
"43",74364.914,"AZ","Maricopa County","ARIZONA STATE UNIVERSITY RESEARCH PARK INC",74.364914
"44",54820.928,"AZ","Maricopa County","HABITIAT FOR HUMANITY INTERNATIONAL INC",54.820928
"45",44138.95,"AZ","Maricopa County","EAST VALLEY CHRISTIAN LEGACY FUND",44.13895
"46",29796.749,"AZ","Maricopa County","FOUNDATION FOR BLIND CHILDREN",29.796749
"47",27579.466,"AZ","Pima County","HUMANE SOCIETY OF SOUTHERN ARIZONA",27.579466
"48",26349.89,"AZ","Pima County","PUSCH RIDGE CHRISTIAN ACADEMY INC",26.34989
"49",26269.176,"AZ","Pima County","UNITED COMMUNITY HEALTH CENTER- MARIA AUXILIADORA INC",26.269176
"50",23237.761,"AZ","Maricopa County","FRANK LLOYD WRIGHT FOUNDATION",23.237761
"51",2616208.768,"CA","San Bernardino County","UNIVERSITY OF WATERLOO",2616.208768
"52",761119.834,"CA","San Francisco County","CALIFORNIA ACADEMY OF SCIENCES",761.119834
"53",582888.639,"CA","Los Angeles County","HARVARD-WESTLAKE SCHOOL",582.888639
"54",488771.244,"CA","Marin County","GUIDE DOGS FOR THE BLIND INC",488.771244
"55",353065.421,"CA","San Francisco County","PUBLIC POLICY INSTITUTE OF CALIFORNIA",353.065421
"56",344680.217,"CA","Los Angeles County","ALFRED E MANN FOUNDATION FOR SCIENTIFIC RESEARCH",344.680217
"57",315903.546,"CA","Santa Clara County","THE HARKER SCHOOL",315.903546
"58",267484.419,"CA","Los Angeles County","BRAILLE INSTITUTE OF AMERICA INC",267.484419
"59",233128.639,"CA","Los Angeles County","CAL POLY POMONA PHILANTHROPIC FOUNDATION",233.128639
